zip_code,city,state,region_id,msa_name,median_home_value,median_rent,days_pending,price_cuts_percent,market_heat,price_to_rent
01826,DRACUT,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01827,DUNSTABLE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01830,HAVERHILL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01831,HAVERHILL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01832,HAVERHILL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01833,GEORGETOWN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01834,GROVELAND,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01835,HAVERHILL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01840,LAWRENCE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01841,LAWRENCE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01842,LAWRENCE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01843,LAWRENCE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01844,METHUEN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01845,NORTH ANDOVER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01850,LOWELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01851,LOWELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01852,LOWELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01853,LOWELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01854,LOWELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01860,MERRIMAC,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01862,NORTH BILLERICA,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01863,NORTH CHELMSFORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01864,NORTH READING,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01865,NUTTING LAKE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01867,READING,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01876,TEWKSBURY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01879,TYNGSBORO,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01880,WAKEFIELD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01886,WESTFORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01887,WILMINGTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01888,WOBURN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01890,WINCHESTER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01901,LYNN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01902,LYNN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01903,LYNN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01904,LYNN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01905,LYNN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01906,SAUGUS,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01907,SWAMPSCOTT,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01908,NAHANT,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01913,AMESBURY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01915,BEVERLY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01921,BOXFORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01922,BYFIELD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01923,DANVERS,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01929,ESSEX,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01930,GLOUCESTER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01931,GLOUCESTER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01936,HAMILTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01937,HATHORNE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01938,IPSWICH,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01940,LYNNFIELD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01944,MANCHESTER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
